Agent,ME Nash Probability,RD Nash Probability,ME Nash Regret,RD Nash Regret,Probability Difference,Regret Difference
anthropic_3.7_sonnet_circle_5,0.0,1.1074834838138674e-14,,89.20479275528868,1.1074834838138674e-14,
anthropic_3.7_sonnet_circle_6,0.0,7.170536967636522e-13,,-58.01849133933615,7.170536967636522e-13,
anthropic_sonnet_3.7_reasoning_circle_0,0.0,2.3355814015902094e-25,,-169.08945126703713,2.3355814015902094e-25,
gemini_2.0_flash_circle_2,0.18912953681584932,0.9999998430942763,-27.262380963803036,7.302429708033742e-06,0.8108703062784269,27.262388266232744
gemini_2.0_flash_circle_5,0.015508989772334003,1.5076086515571572e-16,-48.6826377257589,-79.44671648320286,0.015508989772333852,30.76407875744396
openai_4o_circle_4,0.0,1.569049826948296e-07,,-46.540192697574184,1.569049826948296e-07,
openai_4o_circle_5,0.0,1.2760688407618176e-14,,28.4942770427117,1.2760688407618176e-14,
openai_4o_circle_6,0.0,3.518283367728251e-20,,-0.8557483326715101,3.518283367728251e-20,
openai_o3_mini_circle_0,0.0,9.700508651946289e-17,,-27.582363441781013,9.700508651946289e-17,
