Agent,ME Nash Probability,RD Nash Probability,ME Nash Regret,RD Nash Regret,Probability Difference,Regret Difference
anthropic_3.7_sonnet_circle_5,0.0,1.093959461963945e-23,,-67.23050165927884,1.093959461963945e-23,
anthropic_3.7_sonnet_circle_6,0.0,2.489844634924639e-07,,47.065738281348104,2.489844634924639e-07,
anthropic_sonnet_3.7_reasoning_circle_0,0.0,6.16492946934348e-20,,37.04407463566582,6.16492946934348e-20,
gemini_2.0_flash_circle_2,0.03297803184669629,8.882160575369966e-39,-107.66055394648174,-32.59870359097471,0.03297803184669629,75.06185035550703
gemini_2.0_flash_circle_5,0.019470735043312933,1.1059424641724237e-13,-72.70971873375858,101.30123861884641,0.019470735043202337,174.01095735260498
openai_4o_circle_4,0.0,4.852003998948691e-23,,30.06338137004633,4.852003998948691e-23,
openai_4o_circle_5,0.0,2.4672632447195812e-15,,-122.50423648941296,2.4672632447195812e-15,
openai_4o_circle_6,0.0,6.659700255253868e-21,,-72.0223120304214,6.659700255253868e-21,
openai_o3_mini_circle_0,0.0,0.9999997510154235,,-1.1718651421688264e-05,0.9999997510154235,
