Agent,Nash Probability,RD Nash Probability
openai_o3_mini_2025-01-31_circle_0,0.28267724933983657,0.13145100575866808
anthropic_3.7_sonnet_2025-02-19_circle_6,0.2120113457687709,0.11989045812630161
openai_4o_2024-08-06_circle_4,0.10500112459325917,0.14668525487312814
gemini_2.0_flash_circle_5,0.08241434487425611,0.0982738556811576
anthropic_sonnet_3.7_reasoning_2025-02-19_circle_0,0.08048453824849475,0.09627778899966828
openai_4o_2024-08-06_circle_5,0.0781104300364942,0.1151664986303707
gemini_2.0_flash_circle_2,0.06662769222433536,0.10007120847775787
openai_4o_2024-08-06_circle_6,0.0552361399539961,0.09988301303964893
anthropic_3.7_sonnet_2025-02-19_circle_5,0.03743713496054014,0.09230091641329914
