Agent,RD Nash Regret,RD Expected Utility,RD Max Utility,RD Nash Value
anthropic_3.7_sonnet_circle_5,-67.23050156450074,533.9361363236202,640.9925000000001,624.9229760635616
anthropic_3.7_sonnet_circle_6,47.065738181843585,600.7924837336823,653.5702564102563,624.9229760635616
anthropic_sonnet_3.7_reasoning_circle_0,37.0440743985053,548.9725338952916,603.96975,624.9229760635616
gemini_2.0_flash_circle_2,-32.59870346905035,480.85924901786433,589.799,624.9229760635616
gemini_2.0_flash_circle_5,101.30123852220811,571.450982439652,580.0170588235295,624.9229760635616
openai_4o_circle_4,30.063381033051655,530.84184045154,638.7826315789474,624.9229760635616
openai_4o_circle_5,-122.50423637469464,564.0939985329645,612.51325,624.9229760635616
openai_4o_circle_6,-72.0223120672581,539.7763959095225,617.6377500000001,624.9229760635616
openai_o3_mini_circle_0,-1.1818156394838297e-05,624.9229821227024,686.59825,624.9229760635616
