,anthropic_3.7_sonnet_circle_5,anthropic_3.7_sonnet_circle_6,anthropic_sonnet_3.7_reasoning_circle_0,gemini_2.0_flash_circle_2,gemini_2.0_flash_circle_5,openai_4o_circle_4,openai_4o_circle_5,openai_4o_circle_6,openai_o3_mini_circle_0
anthropic_3.7_sonnet_circle_5,102521.6357645031,108273.77068870558,180313.6491823112,142528.7666734156,110538.92493112439,44783.64138540959,192724.4813379164,82928.40593136683,117883.62170959478
anthropic_3.7_sonnet_circle_6,106172.1247298256,121205.64758249509,64357.16362934039,111464.54646926238,162046.5453595024,50442.408658126595,107746.38724180288,177424.1545343759,101173.052248187
anthropic_sonnet_3.7_reasoning_circle_0,73391.8959749611,112281.430274496,112795.87712366041,89393.64763375738,182150.72632908548,85878.00203749495,98011.68099585135,103176.52644809514,102101.3469957375
gemini_2.0_flash_circle_2,61494.6201044396,88523.75692854839,89108.95331690434,113060.44320418309,97289.8351869975,132229.84558367444,75075.26462478789,60813.82594686948,63387.27416547112
gemini_2.0_flash_circle_5,208748.0662335959,56073.635316708394,105235.43120561559,117456.13468967107,132726.9637024064,110214.67792124045,145382.60283158932,119665.18572587035,95197.87548432901
openai_4o_circle_4,97944.6699997469,34250.747435187586,80160.1913668247,139751.77858053666,89540.01548887753,57989.20501679404,77898.1715180279,69744.39509430047,94438.83450534525
openai_4o_circle_5,101548.6176766224,76967.56730716962,105969.81608196873,138772.63578149557,79190.56880030126,111089.98195723588,81978.67246704952,91774.47715565877,94343.07529224375
openai_4o_circle_6,91537.5183023535,63020.9161883839,92040.98708310346,47024.85135211109,111248.00914054614,137399.46049713358,76141.44525928446,93860.7074877911,126965.9080488202
openai_o3_mini_circle_0,114570.27335483789,107182.45721591626,93953.37581536951,67736.58337942553,75144.69569838163,146143.67966525917,49968.78215069252,85326.0852169717,118070.54490828887
