Agent,RD Nash Regret,RD Expected Utility,RD Max Utility,RD Nash Value
anthropic_3.7_sonnet_circle_5,-67.23050165616837,533.9361364663325,640.9925000000001,624.92297625847
anthropic_3.7_sonnet_circle_6,47.06573827807631,600.7924838661322,653.5702564102563,624.92297625847
anthropic_sonnet_3.7_reasoning_circle_0,37.04407462788464,548.9725341413135,603.96975,624.92297625847
gemini_2.0_flash_circle_2,-32.5987035869785,480.8592488692448,589.799,624.92297625847
gemini_2.0_flash_circle_5,101.30123861566574,571.4509825826594,580.0170588235295,624.92297625847
openai_4o_circle_4,30.063381359021548,530.8418404650163,638.7826315789474,624.92297625847
openai_4o_circle_5,-122.50423648563606,564.0939985449,612.51325,624.92297625847
openai_4o_circle_6,-72.0223120316291,539.7763960263632,617.6377500000001,624.92297625847
openai_o3_mini_circle_0,-1.1721920714080625e-05,624.9229822682745,686.59825,624.92297625847
