Agent,ME Nash Probability,RD Nash Probability,ME Nash Regret,RD Nash Regret,Probability Difference,Regret Difference
anthropic_3.7_sonnet_circle_5,0.0,2.3396517509313962e-21,,-67.23050165616837,2.3396517509313962e-21,
anthropic_3.7_sonnet_circle_6,0.0,2.490536888728378e-07,,47.06573827807631,2.490536888728378e-07,
anthropic_sonnet_3.7_reasoning_circle_0,0.0,4.2979829866089337e-19,,37.04407462788464,4.2979829866089337e-19,
gemini_2.0_flash_circle_2,0.02562988444288556,1.5827422486776146e-35,-108.54909829675469,-32.5987035869785,0.02562988444288556,75.95039470977619
gemini_2.0_flash_circle_5,0.02047218000410797,2.4779475535030534e-13,-76.44840443232744,101.30123861566574,0.020472180003860176,177.74964304799317
openai_4o_circle_4,0.0,6.769374005964356e-22,,30.063381359021548,6.769374005964356e-22,
openai_4o_circle_5,0.0,2.444247373257852e-14,,-122.50423648563606,2.444247373257852e-14,
openai_4o_circle_6,0.0,2.4116701531790635e-20,,-72.0223120316291,2.4116701531790635e-20,
openai_o3_mini_circle_0,0.0,0.9999997509460389,,-1.1721920714080625e-05,0.9999997509460389,
