Agent,Nash Probability,RD Nash Probability
openai_o3_mini_2025-01-31_circle_0,0.533924581357869,0.5781514971534238
anthropic_3.7_sonnet_2025-02-19_circle_6,0.2324435354868267,0.21942801598040204
openai_4o_2024-08-06_circle_5,0.06568079377599918,0.05679259513447044
openai_4o_2024-08-06_circle_4,0.05768643517866614,0.043470029549351835
openai_4o_2024-08-06_circle_6,0.029717966749425347,0.023786128389765515
gemini_2.0_flash_circle_2,0.02562988444288556,0.022357995217753522
gemini_2.0_flash_circle_5,0.02047218000410797,0.022716780631657166
anthropic_sonnet_3.7_reasoning_2025-02-19_circle_0,0.019960970084593407,0.02181437447469993
anthropic_3.7_sonnet_2025-02-19_circle_5,0.014483652919657112,0.011482583468470963
