Agent,ME Nash Probability,RD Nash Probability,ME Nash Regret,RD Nash Regret,Probability Difference,Regret Difference
anthropic_3.7_sonnet_circle_5,0.0,4.2086101145903245e-30,,-67.23050164323047,4.2086101145903245e-30,
anthropic_3.7_sonnet_circle_6,0.0,2.4934256337399005e-07,,47.065738264505285,2.4934256337399005e-07,
anthropic_sonnet_3.7_reasoning_circle_0,0.0,2.8815362436534427e-27,,37.04407459550862,2.8815362436534427e-27,
gemini_2.0_flash_circle_2,0.07281399414040494,4.2689700932007564e-45,-49.40144861570374,-32.59870357032787,0.07281399414040494,16.80274504537587
gemini_2.0_flash_circle_5,0.08583808746741374,1.9009663326244874e-18,-40.906744357699715,101.30123860248915,0.08583808746741374,142.20798296018887
openai_4o_circle_4,0.0,1.0872672991424607e-28,,30.063381312967465,1.0872672991424607e-28,
openai_4o_circle_5,0.0,5.981423228192701e-18,,-122.50423646999639,5.981423228192701e-18,
openai_4o_circle_6,0.0,1.4027194998224615e-27,,-72.02231203665758,1.4027194998224615e-27,
openai_o3_mini_circle_0,0.0,0.9999997506574366,,-1.173549469513091e-05,0.9999997506574366,
