Agent,Nash Probability,RD Nash Probability
gemini_2.0_flash_circle_2,0.20857231043658522,0.1193328250363566
anthropic_3.7_sonnet_2025-02-19_circle_6,0.18259227237741815,0.13868339094443938
openai_o3_mini_2025-01-31_circle_0,0.16216300186300672,0.1685711754814665
openai_4o_2024-08-06_circle_6,0.13017848280221986,0.1354704294707698
anthropic_3.7_sonnet_2025-02-19_circle_5,0.10613228899261049,0.09659751082160238
anthropic_sonnet_3.7_reasoning_2025-02-19_circle_0,0.0892980050906328,0.09717685992970328
openai_4o_2024-08-06_circle_5,0.055441151020720135,0.10215038925497662
openai_4o_2024-08-06_circle_4,0.051155903826630496,0.08169967102699842
gemini_2.0_flash_circle_5,0.014466583590176052,0.060317748033687134
