Agent,ME Nash Probability,RD Nash Probability,ME Nash Regret,RD Nash Regret,Probability Difference,Regret Difference
anthropic_3.7_sonnet_circle_5,0.0,7.196490976681027e-14,,89.20479288370927,7.196490976681027e-14,
anthropic_3.7_sonnet_circle_6,0.0,3.695841062967581e-12,,-58.018491493105785,3.695841062967581e-12,
anthropic_sonnet_3.7_reasoning_circle_0,0.0,1.1136264568971194e-25,,-169.08945190475782,1.1136264568971194e-25,
gemini_2.0_flash_circle_2,0.33641146155801893,0.9999998458803179,1.1368683772161603e-13,7.1727912427377305e-06,0.6635883843222989,7.172791129050893e-06
gemini_2.0_flash_circle_5,0.2061754256348899,2.7628212485467238e-17,-0.007422320897688792,-79.44671654580804,0.20617542563488986,79.43929422491036
openai_4o_circle_4,0.0,1.5411588308897774e-07,,-46.540192827230385,1.5411588308897774e-07,
openai_4o_circle_5,0.0,3.094551953672338e-14,,28.494277272915838,3.094551953672338e-14,
openai_4o_circle_6,0.0,3.852076104799676e-20,,-0.8557487954941507,3.852076104799676e-20,
openai_o3_mini_circle_0,0.0,3.0569146687448475e-16,,-27.58236354505982,3.0569146687448475e-16,
